"ID","time","market","cap","soe","industry","sales","net profit","book value","cash","inventory","asset","current asset","current debt","debt","equity","stock price","eps","pe"
"UNI","2016","hn","small","no","viễn thông","33.8","0.7","10.3","1.1","2.8","157.89","45.1","9.6","0.1","157.79","4.7","0","109.3"
"UNI","2015","hn","small","no","viễn thông","76.7","13.8","10.3","10.6","4.3","165.34","49.7","8.1","8.2","157.14","9.4","0.9","9.6"
"UNI","2014","hn","small","no","viễn thông","26.6","0.9","9.4","3.1","43.6","177.07","76.6","33.6","33.7","143.37","7.3","0.1","112.6"
"UNI","2013","hn","small","no","viễn thông","35.8","0.8","9.4","2.4","45.8","179.36","80.2","36.7","36.8","142.56","6.5","0.1","108"
"UNI","2012","hn","small","no","viễn thông","46.1","16","6.7","3.9","21.5","184.26","100.1","32.5","82.6","101.66","7.3","0.3","4.2"
"UNI","2011","hn","small","no","viễn thông","45.8","-7.7","6.4","8.5","17.2","170.34","160","20.8","70.9","99.44","3.2","-0.5","-3.9"
"UNI","2010","hn","small","no","viễn thông","56.7","12.4","7.4","52.5","12.1","173.62","172.5","10.7","60.7","112.92","11.5","1","8.8"
"UNI","2009","hn","small","no","viễn thông","92.7","17.8","6.4","51.9","11.9","122.13","117.9","24.2","24.2","97.93","12.7","1.1","3.1"
"UNI","2008","hn","small","no","viễn thông","70.1","1.4","5.6","7.1","17.9","107.04","83.1","23.3","23.3","83.74","4.5","0.2","14.5"
"UNI","2007","hn","small","no","viễn thông","226.8","8.6","1.7","6.5","13.1","74.64","67.1","48.1","48.4","26.24","21.6","0.6","3.8"
"HJS","2016","hn","small","yes","điện","160.1","19.7","13.1","6.9","27.4","440.49","50.3","45.5","166.8","273.69","15.1","1.3","14"
"HJS","2015","hn","small","yes","điện","163.7","34.1","13.2","19.8","0.8","546.78","75","48.9","269","277.78","12.6","1.6","7.8"
"HJS","2014","hn","small","yes","điện","141","21.5","9.6","7","11","588.33","71.7","161.5","388.1","200.23","7.8","1","5.6"
"HJS","2013","hn","small","yes","điện","125.1","21.3","8.7","11.1","2.9","624.56","66.8","198.7","429.8","194.76","6.3","1","4.5"
"HJS","2012","hn","small","yes","điện","124.5","28.5","8.4","","0.1","664.48","70.9","220.9","475.1","189.38","3.8","1.2","2.1"
"HJS","2011","hn","small","yes","điện","","15.6","7.9","12.5","1.5","623.3","70","111.8","446.8","176.5","2.2","0.7","2.1"
"HJS","2010","hn","small","yes","điện","75.7","4.8","8","17.6","4.9","544.33","47.1","78.5","372.1","172.23","5.2","0.5","6.8"
"HJS","2009","hn","small","yes","điện","58","11.5","4","2","0.3","423.49","8","69.1","340.1","83.39","5","0.7","2.6"
"HJS","2008","hn","small","yes","điện","37.8","9.2","3.8","3.5","0.1","397.58","17.4","52","318.6","78.98","3.1","0.4","2"
"HJS","2007","hn","small","yes","điện","35.7","7.1","3.6","8.6","0.1","287.28","44.1","33.1","211.3","75.98","7.5","0.3","6.4"
"SDA","2016","hn","small","yes","điện","35.9","-36","9.6","1.6","2.2","325.71","15.9","82.2","82.8","242.91","4","-1.3","-2.9"
"SDA","2015","hn","small","yes","điện","189.4","4.4","10.6","122.1","5.8","556.28","294.5","189.2","273.5","282.78","8.5","0.4","25.4"
"SDA","2014","hn","small","yes","điện","74.9","8.3","7.3","8.5","12.8","366.01","73.7","78.6","177.5","188.51","5.8","0.2","9.2"
"SDA","2013","hn","small","yes","điện","95.2","5.2","7.5","6","111","334.91","159.4","90.8","138.1","196.81","4.8","0.1","12.1"
"SDA","2012","hn","small","yes","điện","63.6","-0.6","7.3","12","86","400.93","147.5","113.6","211.2","189.73","3.1","0","-73.6"
"SDA","2011","hn","small","yes","điện","70.9","10.2","7.3","17.3","103.4","317.61","163.6","90.4","125.8","191.81","3.4","0.4","4.4"
"SDA","2010","hn","small","yes","điện","136.8","26.7","7.1","17.4","80.2","275.78","145","50.3","89","186.78","11.5","1","4.7"
"SDA","2009","hn","small","yes","điện","160.7","37.2","5.7","16","17","318.99","200.2","113.7","161.4","157.59","20.2","1.4","4.9"
"SDA","2008","hn","small","yes","điện","58.3","36.7","5","47.2","33.6","419.68","307.9","206.4","293.3","126.38","9.6","1.4","2.4"
"SDA","2007","hn","small","yes","điện","110.3","27","3.7","42.1","4","317.88","270.3","124.6","220.6","97.28","51","1","14.8"
"TCT","2016","hcm","small","yes","tiêu dùng","137.5","69.2","19.1","7.3","4.4","253.35","253.4","9.7","9.7","243.65","50","5.5","9.3"
"TCT","2015","hcm","small","yes","tiêu dùng","176.3","57.7","16.8","6.6","3.4","225.83","225.8","11.4","11.4","214.43","43.5","4.6","9.7"
"TCT","2014","hcm","small","yes","tiêu dùng","124.5","55.6","16.6","29.9","3.8","220.24","220.3","7.6","7.7","212.54","51","4.3","13.8"
"TCT","2013","hcm","small","yes","tiêu dùng","100.2","47.6","14.9","53.6","1.5","201.06","201.1","9.4","10.9","190.16","32.8","3.7","2.2"
"TCT","2012","hcm","small","yes","tiêu dùng","77.4","53.5","13.2","61.9","1.5","177.4","177.4","7.7","9","168.4","15.7","4.2","0.9"
"TCT","2011","hcm","small","yes","tiêu dùng","63.1","47.8","10.3","","1.3","145.66","145.7","13.6","14.8","130.86","7.7","3.6","0.5"
"TCT","2010","hcm","small","yes","tiêu dùng","46.5","30.6","7.7","2.7","1.4","109.82","109.8","10.1","11.1","98.72","9.3","2.1","1"
"TCT","2009","hcm","small","yes","tiêu dùng","40.8","26.4","6.4","11.5","1.7","89.98","90","8.9","9.6","80.38","10.3","2.1","1.2"
"TCT","2008","hcm","small","yes","tiêu dùng","36.8","22.8","5","1.4","1.7","67.27","67.3","2.8","3.4","63.87","6.1","1.8","0.4"
"TCT","2007","hcm","small","yes","tiêu dùng","32","15.9","3.7","12.4","1.5","52.59","52.6","5.6","5.8","46.79","24.6","1.2","2.5"
"HLY","2016","hn","small","no","xây dựng","51.5","3.2","22.6","0.8","12.2","30.36","16.2","17.8","7.8","22.56","14.4","3.2","4.5"
"HLY","2015","hn","small","no","xây dựng","57.8","0.9","19.4","2.3","8.6","38.37","13.9","19","19","19.37","7.4","0.9","8.4"
"HLY","2014","hn","small","no","xây dựng","54.8","1","18.6","1.2","17.8","47.75","22.4","28.4","29.2","18.55","8.8","1","8.8"
"HLY","2013","hn","small","no","xây dựng","57.6","0","17.6","1.1","14.4","48.09","18.7","28.3","30.5","17.59","18.9","0","146.4"
"HLY","2012","hn","small","no","xây dựng","50.9","-3.2","16.2","0.5","16.1","50.97","21.6","28.9","34.8","16.17","7.6","-3.2","-2.4"
"HLY","2011","hn","small","no","xây dựng","75.7","3.3","20.8","1.2","15.8","53.11","22.7","25.3","32","21.11","12.4","3","3.7"
"HLY","2010","hn","small","no","xây dựng","74.8","5.3","20.8","0.6","14.8","35.89","19.7","11","15.1","20.79","19.6","5.3","3.7"
"HLY","2009","hn","small","no","xây dựng","68.3","8.5","17.9","0.4","13.6","28.71","18.1","12.6","13.2","15.51","28.4","8.5","3.3"
"HLY","2008","hn","small","no","xây dựng","61.3","7.7","14.3","0.3","14.5","28.5","16.5","13.9","14.3","14.2","15","7.8","1"
"HLY","2007","hn","small","no","xây dựng","37","1.3","7.6","1.4","6.5","23.81","9.3","12.9","16.4","7.41","14.9","1.3","5.7"
"VTS","2016","hn","small","no","xây dựng","58.1","0.7","23.2","4","10.9","46.24","38.4","10.1","0","46.24","11.8","0.4","32.7"
"VTS","2015","hn","small","no","xây dựng","50.6","0.1","22.7","8.1","17.2","57.81","36.2","12.3","12.3","45.51","8.2","0","146.4"
"VTS","2014","hn","small","no","xây dựng","53.3","0.7","22.7","5.3","24.2","66.8","43","21.4","21.4","45.4","9","0.4","24.6"
"VTS","2013","hn","small","no","xây dựng","54.6","-3.6","22.3","2.9","28.1","73.27","42.4","28.6","28.6","44.67","11.4","-1.8","-6.3"
"VTS","2012","hn","small","no","xây dựng","58.2","0.5","24.9","2.4","34.8","88.74","53.8","38.9","38.9","49.84","11.6","0.2","48.7"
"VTS","2011","hn","small","no","xây dựng","82.6","12.2","27.2","9.6","31","87.22","47.6","32","32.8","54.42","13.7","6.1","2.2"
"VTS","2010","hn","small","no","xây dựng","79.2","16","21.8","18","22.5","76.25","49.4","30.2","32.6","43.65","26.8","8","2.2"
"VTS","2009","hn","small","no","xây dựng","74.8","18.4","15.4","2.6","16.8","57.58","34.8","27.4","28","29.58","37.6","9","2.6"
"VTS","2008","hn","small","no","xây dựng","60.2","16.3","14.6","0.9","15.8","43.58","24.1","13.7","14.6","28.98","14","8.2","1.1"
